discordantly;r;2
discouragingly;r;2
discourteously;r;2
discreditably;r;2
discreetly;r;2
discursively;r;2
disdainfully;r;2,2
disgracefully;r;2
disgustedly;r;2
disgustingly;r;2
dishonestly;r;2
dishonorably;r;2,2,2
dishonourably;r;2
disingenuously;r;2
disinterestedly;r;2
disjointedly;r;2
disloyally;r;2
dismally;r;2,2
disobediently;r;2
disparagingly;r;2
dispassionately;r;2
dispiritedly;r;2
displeasingly;r;2
disproportionately;r;2,2
disputatiously;r;2
disquietingly;r;2
disregarding;r;2
disregardless;r;2
disreputably;r;2
disrespectfully;r;2
disruptively;r;2
dissolutely;r;2
distally;r;2
distantly;r;2
distastefully;r;2,2
distinctively;r;2
distinctly;r;2,2,2
distractedly;r;2
distressfully;r;2
distressingly;r;2
distributively;r;2,2
distrustfully;r;2
disturbingly;r;2
diversely;r;2
divertingly;r;2
divinely;r;2
dizzily;r;2
doctrinally;r;2
doggedly;r;2
doggo;r;2
dogmatically;r;2
dolce;r;2
dolefully;r;2
doltishly;r;2
domestically;r;2,2
domineeringly;r;2
dorsally;r;2
dorsoventrally;r;2
dottily;r;2
double;r;2,2,2
doubly;r;2,2
doubtfully;r;2
doubtless;r;2
doubtlessly;r;2
dourly;r;2
dowdily;r;2
down;r;2,2,2,2,2,2
downfield;r;2
downhill;r;2,2
downright;r;2
downriver;r;2
downstage;r;2
downstairs;r;2
downstream;r;2
downtown;r;2
downward;r;2
downwardly;r;2
downwards;r;2
downwind;r;2,2
drably;r;2
draggingly;r;2
dramatically;r;2,2,2
drastically;r;2
dreadfully;r;2,2
dreamfully;r;2
dreamily;r;2
drearily;r;2
drily;r;2
drippily;r;2
dripping;r;2
droopingly;r;2
drop-dead;r;2
drowsily;r;2
drunkenly;r;2
dryly;r;2
dubiously;r;2,2
due;r;2
dully;r;2,2
duly;r;2
dumbly;r;2,2
dutifully;r;2
dynamically;r;2
e'en;r;2
e'er;r;2
e.g.;r;2
each;r;2
eagerly;r;2
earlier;r;2,2,2
earliest;r;2
early;r;2,2,2
earnestly;r;2
easily;r;2,2,2
east;r;2
easterly;r;2
eastward;r;2
eastwards;r;2
easy;r;2,2,2
ebulliently;r;2
eccentrically;r;2,2
ecclesiastically;r;2
ecologically;r;2
economically;r;2,2,2
ecstatically;r;2
edgeways;r;2,2
edgewise;r;2,2
editorially;r;2
educationally;r;2
eerily;r;2
effectively;r;2,2
effectually;r;2
efficaciously;r;2
efficiently;r;2
effortlessly;r;2
effusively;r;2
egotistically;r;2
either;r;2
elaborately;r;2
electrically;r;2
electronically;r;2
electrostatically;r;2
elegantly;r;2,2
elementarily;r;2
eloquently;r;2,2
elsewhere;r;2
embarrassingly;r;2
eminently;r;2
emotionally;r;2,2
emotionlessly;r;2
empathetically;r;2
emphatically;r;2
empirically;r;2
emulously;r;2
enchantingly;r;2
encouragingly;r;2
end-to-end;r;2
endearingly;r;2
endlessly;r;2,2,2,2
endogenously;r;2
enduringly;r;2
endways;r;2,2,2
endwise;r;2,2,2
energetically;r;2
engagingly;r;2
enigmatically;r;2
enjoyably;r;2
enormously;r;2
enough;r;2
enquiringly;r;2
enterprisingly;r;2
entertainingly;r;2
enthrallingly;r;2
enthusiastically;r;2,2
entirely;r;2,2
entreatingly;r;2
enviably;r;2
enviously;r;2
environmentally;r;2
episodically;r;2
